,Yields,Predicted Yields
0,AVERAGE YIELD,GOOD YIELD
1,GOOD YIELD,AVERAGE YIELD
2,POOR YIELD,GOOD YIELD
3,POOR YIELD,AVERAGE YIELD
4,AVERAGE YIELD,GOOD YIELD
5,AVERAGE YIELD,POOR YIELD
6,POOR YIELD,GOOD YIELD
7,POOR YIELD,GOOD YIELD
8,AVERAGE YIELD,GOOD YIELD
9,POOR YIELD,BELOW AVERAGE YIELD
10,BELOW AVERAGE YIELD,AVERAGE YIELD
11,AVERAGE YIELD,AVERAGE YIELD
12,POOR YIELD,GOOD YIELD
13,AVERAGE YIELD,POOR YIELD
14,BELOW AVERAGE YIELD,GOOD YIELD
15,BELOW AVERAGE YIELD,GOOD YIELD
16,POOR YIELD,BELOW AVERAGE YIELD
17,GOOD YIELD,AVERAGE YIELD
18,AVERAGE YIELD,GOOD YIELD
19,AVERAGE YIELD,GOOD YIELD
20,GOOD YIELD,GOOD YIELD
21,POOR YIELD,BELOW AVERAGE YIELD
22,AVERAGE YIELD,GOOD YIELD
23,POOR YIELD,AVERAGE YIELD
24,POOR YIELD,GOOD YIELD
25,GOOD YIELD,GOOD YIELD
26,POOR YIELD,GOOD YIELD
27,GOOD YIELD,AVERAGE YIELD
28,POOR YIELD,AVERAGE YIELD
29,GOOD YIELD,GOOD YIELD
30,AVERAGE YIELD,BELOW AVERAGE YIELD
31,BELOW AVERAGE YIELD,GOOD YIELD
32,GOOD YIELD,GOOD YIELD
33,POOR YIELD,BELOW AVERAGE YIELD
34,POOR YIELD,POOR YIELD
35,GOOD YIELD,BELOW AVERAGE YIELD
36,GOOD YIELD,AVERAGE YIELD
37,GOOD YIELD,GOOD YIELD
38,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
39,GOOD YIELD,GOOD YIELD
40,BELOW AVERAGE YIELD,GOOD YIELD
41,GOOD YIELD,GOOD YIELD
42,BELOW AVERAGE YIELD,POOR YIELD
43,GOOD YIELD,AVERAGE YIELD
44,BELOW AVERAGE YIELD,POOR YIELD
45,AVERAGE YIELD,GOOD YIELD
46,POOR YIELD,GOOD YIELD
47,AVERAGE YIELD,GOOD YIELD
48,AVERAGE YIELD,AVERAGE YIELD
49,GOOD YIELD,GOOD YIELD
50,AVERAGE YIELD,AVERAGE YIELD
51,BELOW AVERAGE YIELD,POOR YIELD
52,POOR YIELD,GOOD YIELD
53,GOOD YIELD,GOOD YIELD
54,AVERAGE YIELD,BELOW AVERAGE YIELD
55,POOR YIELD,AVERAGE YIELD
56,BELOW AVERAGE YIELD,POOR YIELD
57,BELOW AVERAGE YIELD,GOOD YIELD
58,AVERAGE YIELD,GOOD YIELD
59,BELOW AVERAGE YIELD,GOOD YIELD
60,BELOW AVERAGE YIELD,GOOD YIELD
61,GOOD YIELD,GOOD YIELD
62,GOOD YIELD,GOOD YIELD
63,POOR YIELD,POOR YIELD
64,GOOD YIELD,GOOD YIELD
65,GOOD YIELD,GOOD YIELD
66,GOOD YIELD,GOOD YIELD
67,BELOW AVERAGE YIELD,GOOD YIELD
68,AVERAGE YIELD,GOOD YIELD
69,AVERAGE YIELD,BELOW AVERAGE YIELD
70,POOR YIELD,POOR YIELD
71,POOR YIELD,GOOD YIELD
72,POOR YIELD,GOOD YIELD
73,AVERAGE YIELD,AVERAGE YIELD
74,GOOD YIELD,AVERAGE YIELD
75,GOOD YIELD,GOOD YIELD
76,BELOW AVERAGE YIELD,AVERAGE YIELD
77,BELOW AVERAGE YIELD,AVERAGE YIELD
78,POOR YIELD,POOR YIELD
79,BELOW AVERAGE YIELD,POOR YIELD
80,GOOD YIELD,GOOD YIELD
81,AVERAGE YIELD,AVERAGE YIELD
82,GOOD YIELD,GOOD YIELD
83,BELOW AVERAGE YIELD,AVERAGE YIELD
84,AVERAGE YIELD,AVERAGE YIELD
85,POOR YIELD,BELOW AVERAGE YIELD
86,GOOD YIELD,GOOD YIELD
87,BELOW AVERAGE YIELD,GOOD YIELD
88,AVERAGE YIELD,GOOD YIELD
89,AVERAGE YIELD,GOOD YIELD
90,AVERAGE YIELD,AVERAGE YIELD
91,POOR YIELD,POOR YIELD
92,GOOD YIELD,GOOD YIELD
93,AVERAGE YIELD,GOOD YIELD
94,AVERAGE YIELD,GOOD YIELD
95,POOR YIELD,AVERAGE YIELD
96,AVERAGE YIELD,AVERAGE YIELD
97,AVERAGE YIELD,GOOD YIELD
98,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
99,POOR YIELD,POOR YIELD
100,GOOD YIELD,GOOD YIELD
101,AVERAGE YIELD,GOOD YIELD
102,GOOD YIELD,BELOW AVERAGE YIELD
103,GOOD YIELD,POOR YIELD
104,BELOW AVERAGE YIELD,GOOD YIELD
105,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
106,POOR YIELD,AVERAGE YIELD
107,GOOD YIELD,GOOD YIELD
108,AVERAGE YIELD,POOR YIELD
109,GOOD YIELD,POOR YIELD
110,AVERAGE YIELD,AVERAGE YIELD
111,GOOD YIELD,GOOD YIELD
112,BELOW AVERAGE YIELD,AVERAGE YIELD
113,GOOD YIELD,AVERAGE YIELD
114,AVERAGE YIELD,BELOW AVERAGE YIELD
115,POOR YIELD,POOR YIELD
116,POOR YIELD,AVERAGE YIELD
117,AVERAGE YIELD,BELOW AVERAGE YIELD
118,AVERAGE YIELD,AVERAGE YIELD
119,BELOW AVERAGE YIELD,AVERAGE YIELD
120,POOR YIELD,GOOD YIELD
121,AVERAGE YIELD,GOOD YIELD
122,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
123,AVERAGE YIELD,POOR YIELD
124,GOOD YIELD,GOOD YIELD
125,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
126,POOR YIELD,GOOD YIELD
127,POOR YIELD,GOOD YIELD
128,POOR YIELD,POOR YIELD
129,POOR YIELD,GOOD YIELD
130,BELOW AVERAGE YIELD,GOOD YIELD
131,AVERAGE YIELD,AVERAGE YIELD
132,GOOD YIELD,GOOD YIELD
133,GOOD YIELD,GOOD YIELD
134,POOR YIELD,GOOD YIELD
135,AVERAGE YIELD,GOOD YIELD
136,AVERAGE YIELD,GOOD YIELD
137,POOR YIELD,GOOD YIELD
138,AVERAGE YIELD,AVERAGE YIELD
139,BELOW AVERAGE YIELD,AVERAGE YIELD
140,BELOW AVERAGE YIELD,GOOD YIELD
141,GOOD YIELD,BELOW AVERAGE YIELD
142,POOR YIELD,BELOW AVERAGE YIELD
143,POOR YIELD,AVERAGE YIELD
144,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
145,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
146,AVERAGE YIELD,AVERAGE YIELD
147,BELOW AVERAGE YIELD,POOR YIELD
148,AVERAGE YIELD,AVERAGE YIELD
149,POOR YIELD,BELOW AVERAGE YIELD
150,GOOD YIELD,GOOD YIELD
151,AVERAGE YIELD,BELOW AVERAGE YIELD
152,POOR YIELD,POOR YIELD
153,AVERAGE YIELD,GOOD YIELD
154,GOOD YIELD,GOOD YIELD
155,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
156,BELOW AVERAGE YIELD,POOR YIELD
157,GOOD YIELD,GOOD YIELD
158,GOOD YIELD,GOOD YIELD
159,POOR YIELD,GOOD YIELD
160,POOR YIELD,POOR YIELD
161,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
162,POOR YIELD,BELOW AVERAGE YIELD
163,POOR YIELD,GOOD YIELD
164,POOR YIELD,POOR YIELD
165,BELOW AVERAGE YIELD,POOR YIELD
166,BELOW AVERAGE YIELD,AVERAGE YIELD
167,GOOD YIELD,POOR YIELD
168,POOR YIELD,GOOD YIELD
169,GOOD YIELD,GOOD YIELD
170,AVERAGE YIELD,AVERAGE YIELD
171,GOOD YIELD,GOOD YIELD
172,BELOW AVERAGE YIELD,AVERAGE YIELD
173,AVERAGE YIELD,GOOD YIELD
174,POOR YIELD,POOR YIELD
175,GOOD YIELD,GOOD YIELD
176,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
177,BELOW AVERAGE YIELD,AVERAGE YIELD
178,GOOD YIELD,GOOD YIELD
179,BELOW AVERAGE YIELD,AVERAGE YIELD
180,AVERAGE YIELD,GOOD YIELD
181,AVERAGE YIELD,AVERAGE YIELD
182,AVERAGE YIELD,POOR YIELD
183,GOOD YIELD,GOOD YIELD
184,AVERAGE YIELD,AVERAGE YIELD
185,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
186,AVERAGE YIELD,GOOD YIELD
187,GOOD YIELD,GOOD YIELD
188,AVERAGE YIELD,GOOD YIELD
189,AVERAGE YIELD,BELOW AVERAGE YIELD
190,POOR YIELD,POOR YIELD
191,GOOD YIELD,POOR YIELD
192,POOR YIELD,POOR YIELD
