,Yields,Predicted Yields
0,GOOD YIELD,POOR YIELD
1,POOR YIELD,POOR YIELD
2,BELOW AVERAGE YIELD,POOR YIELD
3,AVERAGE YIELD,GOOD YIELD
4,GOOD YIELD,POOR YIELD
5,AVERAGE YIELD,AVERAGE YIELD
6,POOR YIELD,POOR YIELD
7,AVERAGE YIELD,AVERAGE YIELD
8,POOR YIELD,AVERAGE YIELD
9,BELOW AVERAGE YIELD,POOR YIELD
10,POOR YIELD,POOR YIELD
11,POOR YIELD,GOOD YIELD
12,POOR YIELD,POOR YIELD
13,POOR YIELD,GOOD YIELD
14,AVERAGE YIELD,AVERAGE YIELD
15,GOOD YIELD,POOR YIELD
16,BELOW AVERAGE YIELD,POOR YIELD
17,BELOW AVERAGE YIELD,POOR YIELD
18,BELOW AVERAGE YIELD,AVERAGE YIELD
19,BELOW AVERAGE YIELD,POOR YIELD
20,BELOW AVERAGE YIELD,GOOD YIELD
21,POOR YIELD,AVERAGE YIELD
22,GOOD YIELD,GOOD YIELD
23,GOOD YIELD,AVERAGE YIELD
24,GOOD YIELD,GOOD YIELD
25,POOR YIELD,POOR YIELD
26,GOOD YIELD,GOOD YIELD
27,POOR YIELD,POOR YIELD
28,GOOD YIELD,BELOW AVERAGE YIELD
29,GOOD YIELD,BELOW AVERAGE YIELD
30,POOR YIELD,POOR YIELD
31,AVERAGE YIELD,POOR YIELD
32,GOOD YIELD,GOOD YIELD
33,POOR YIELD,GOOD YIELD
34,BELOW AVERAGE YIELD,GOOD YIELD
35,AVERAGE YIELD,AVERAGE YIELD
36,GOOD YIELD,GOOD YIELD
37,GOOD YIELD,GOOD YIELD
38,POOR YIELD,POOR YIELD
39,AVERAGE YIELD,AVERAGE YIELD
40,BELOW AVERAGE YIELD,AVERAGE YIELD
41,BELOW AVERAGE YIELD,POOR YIELD
42,POOR YIELD,POOR YIELD
43,BELOW AVERAGE YIELD,POOR YIELD
44,BELOW AVERAGE YIELD,GOOD YIELD
45,POOR YIELD,POOR YIELD
46,BELOW AVERAGE YIELD,GOOD YIELD
47,GOOD YIELD,GOOD YIELD
48,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
49,GOOD YIELD,GOOD YIELD
50,BELOW AVERAGE YIELD,GOOD YIELD
51,GOOD YIELD,AVERAGE YIELD
52,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
53,POOR YIELD,POOR YIELD
54,GOOD YIELD,GOOD YIELD
55,POOR YIELD,POOR YIELD
56,GOOD YIELD,AVERAGE YIELD
57,AVERAGE YIELD,GOOD YIELD
58,GOOD YIELD,AVERAGE YIELD
59,POOR YIELD,POOR YIELD
60,AVERAGE YIELD,POOR YIELD
61,GOOD YIELD,AVERAGE YIELD
62,GOOD YIELD,BELOW AVERAGE YIELD
63,BELOW AVERAGE YIELD,POOR YIELD
64,AVERAGE YIELD,POOR YIELD
65,BELOW AVERAGE YIELD,POOR YIELD
66,AVERAGE YIELD,BELOW AVERAGE YIELD
67,BELOW AVERAGE YIELD,GOOD YIELD
68,AVERAGE YIELD,AVERAGE YIELD
69,BELOW AVERAGE YIELD,POOR YIELD
70,POOR YIELD,AVERAGE YIELD
71,POOR YIELD,POOR YIELD
72,GOOD YIELD,POOR YIELD
73,GOOD YIELD,GOOD YIELD
74,POOR YIELD,AVERAGE YIELD
75,POOR YIELD,POOR YIELD
76,POOR YIELD,AVERAGE YIELD
77,POOR YIELD,GOOD YIELD
78,GOOD YIELD,POOR YIELD
79,BELOW AVERAGE YIELD,AVERAGE YIELD
80,GOOD YIELD,GOOD YIELD
81,BELOW AVERAGE YIELD,GOOD YIELD
82,POOR YIELD,GOOD YIELD
83,GOOD YIELD,GOOD YIELD
84,GOOD YIELD,GOOD YIELD
85,AVERAGE YIELD,GOOD YIELD
86,GOOD YIELD,GOOD YIELD
87,BELOW AVERAGE YIELD,AVERAGE YIELD
88,AVERAGE YIELD,AVERAGE YIELD
89,AVERAGE YIELD,POOR YIELD
90,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
91,GOOD YIELD,GOOD YIELD
92,AVERAGE YIELD,BELOW AVERAGE YIELD
93,POOR YIELD,POOR YIELD
94,POOR YIELD,BELOW AVERAGE YIELD
95,GOOD YIELD,GOOD YIELD
96,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
97,GOOD YIELD,GOOD YIELD
98,GOOD YIELD,GOOD YIELD
99,BELOW AVERAGE YIELD,AVERAGE YIELD
100,AVERAGE YIELD,AVERAGE YIELD
101,BELOW AVERAGE YIELD,POOR YIELD
102,GOOD YIELD,AVERAGE YIELD
103,POOR YIELD,POOR YIELD
104,GOOD YIELD,GOOD YIELD
105,GOOD YIELD,AVERAGE YIELD
106,BELOW AVERAGE YIELD,POOR YIELD
107,GOOD YIELD,GOOD YIELD
108,AVERAGE YIELD,AVERAGE YIELD
109,GOOD YIELD,GOOD YIELD
110,AVERAGE YIELD,POOR YIELD
111,GOOD YIELD,POOR YIELD
112,GOOD YIELD,GOOD YIELD
113,GOOD YIELD,POOR YIELD
114,AVERAGE YIELD,GOOD YIELD
115,BELOW AVERAGE YIELD,GOOD YIELD
116,AVERAGE YIELD,AVERAGE YIELD
117,GOOD YIELD,GOOD YIELD
118,AVERAGE YIELD,BELOW AVERAGE YIELD
119,AVERAGE YIELD,GOOD YIELD
120,BELOW AVERAGE YIELD,AVERAGE YIELD
121,AVERAGE YIELD,AVERAGE YIELD
122,GOOD YIELD,GOOD YIELD
123,AVERAGE YIELD,GOOD YIELD
124,POOR YIELD,POOR YIELD
125,AVERAGE YIELD,GOOD YIELD
126,GOOD YIELD,BELOW AVERAGE YIELD
127,BELOW AVERAGE YIELD,GOOD YIELD
128,GOOD YIELD,GOOD YIELD
129,BELOW AVERAGE YIELD,GOOD YIELD
130,GOOD YIELD,AVERAGE YIELD
131,POOR YIELD,BELOW AVERAGE YIELD
132,GOOD YIELD,GOOD YIELD
133,GOOD YIELD,AVERAGE YIELD
134,BELOW AVERAGE YIELD,POOR YIELD
135,BELOW AVERAGE YIELD,GOOD YIELD
136,GOOD YIELD,AVERAGE YIELD
137,AVERAGE YIELD,BELOW AVERAGE YIELD
138,AVERAGE YIELD,GOOD YIELD
139,GOOD YIELD,AVERAGE YIELD
140,AVERAGE YIELD,GOOD YIELD
141,BELOW AVERAGE YIELD,POOR YIELD
142,AVERAGE YIELD,BELOW AVERAGE YIELD
143,AVERAGE YIELD,BELOW AVERAGE YIELD
144,BELOW AVERAGE YIELD,POOR YIELD
145,GOOD YIELD,POOR YIELD
146,GOOD YIELD,GOOD YIELD
147,GOOD YIELD,GOOD YIELD
148,POOR YIELD,POOR YIELD
149,POOR YIELD,POOR YIELD
150,BELOW AVERAGE YIELD,GOOD YIELD
151,GOOD YIELD,GOOD YIELD
152,AVERAGE YIELD,AVERAGE YIELD
153,AVERAGE YIELD,AVERAGE YIELD
154,AVERAGE YIELD,POOR YIELD
155,BELOW AVERAGE YIELD,GOOD YIELD
156,GOOD YIELD,POOR YIELD
157,GOOD YIELD,GOOD YIELD
158,POOR YIELD,POOR YIELD
159,AVERAGE YIELD,GOOD YIELD
160,AVERAGE YIELD,BELOW AVERAGE YIELD
161,POOR YIELD,GOOD YIELD
162,AVERAGE YIELD,POOR YIELD
163,AVERAGE YIELD,AVERAGE YIELD
164,AVERAGE YIELD,GOOD YIELD
165,POOR YIELD,GOOD YIELD
166,GOOD YIELD,GOOD YIELD
167,POOR YIELD,POOR YIELD
168,GOOD YIELD,POOR YIELD
169,GOOD YIELD,GOOD YIELD
170,AVERAGE YIELD,POOR YIELD
171,BELOW AVERAGE YIELD,GOOD YIELD
172,AVERAGE YIELD,AVERAGE YIELD
173,POOR YIELD,POOR YIELD
174,GOOD YIELD,GOOD YIELD
175,AVERAGE YIELD,GOOD YIELD
176,GOOD YIELD,AVERAGE YIELD
177,GOOD YIELD,GOOD YIELD
178,POOR YIELD,AVERAGE YIELD
179,GOOD YIELD,GOOD YIELD
180,GOOD YIELD,GOOD YIELD
181,GOOD YIELD,GOOD YIELD
182,AVERAGE YIELD,GOOD YIELD
183,POOR YIELD,GOOD YIELD
184,AVERAGE YIELD,BELOW AVERAGE YIELD
185,AVERAGE YIELD,POOR YIELD
186,GOOD YIELD,AVERAGE YIELD
187,AVERAGE YIELD,AVERAGE YIELD
188,GOOD YIELD,GOOD YIELD
189,AVERAGE YIELD,GOOD YIELD
190,POOR YIELD,AVERAGE YIELD
191,AVERAGE YIELD,GOOD YIELD
192,GOOD YIELD,AVERAGE YIELD
193,POOR YIELD,POOR YIELD
194,GOOD YIELD,BELOW AVERAGE YIELD
195,GOOD YIELD,GOOD YIELD
