,ligand
CNCCNC,188
OC(C1CCCN1)=O,148
C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,60
N1(CC2)CCN2CC1,46
N[C@H]1[C@H](N)CCCC1,45
O=C(CC(C1=CC=CC=C1)=O)C2=CC=CC=C2,44
C12=CC=C3C(N=CC=C3)=C1N=CC=C2,42
CC(C(N)C(O)=O)C,39
C12=CC=CC=C1C=CC(NCC3=CC=CC=C3)=C2C4=C(C=CC=C5)C5=CC=C4NCC6=CC=CC=C6,38
CN(C)CC(O)=O.Cl,36
O=C(C(C)(C)C)CC(C(C)(C)C)=O,30
NCCN,10
O[C@H]1[C@H](O)CCCC1,8
CN(C1=C([Pt](CCCC)CCCC)C=CC=C1)C,5
CN(C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1)C,5
OCCO,4
OC2=CC=CC1=CC=CN=C12,4
O=C(C1=NC=CC=C1)O,4
CN(C)C(O)=O.Cl,3
CN(C)CCN(C)C,3
CNCC(O)=O,3
OC1=CC=C2C(C=CC=C2)=C1C3=C(O)C=CC4=C3C=CC=C4,3
C1(P(C3=CC=CC=C3)C2=CC=CC=C2)=CC=CC=C1,3
C1(C2=NC=CC=C2)=CC=CC=N1,3
NC(C(O)=O)CC(C)C,3
NCCNCCN,2
CNCCCNC,2
O=C(CN(CC(O)=O)CC(O)=O)O,2
CN[C@H]1[C@@H](CCCC1)NC,2
CC(CC(C)=O)=O,2
OC1=[C@@]([C@@]2=C(O)C=CC3=C2C=CC=C3)C4=CC=CC=C4C=C1,2
C[C@H](N)C(O)=O,2
COCCOC,1
CC(C)(NCCNC(C)(C)C)C,1
NC(C(O)=O)C(CC)C,1
CC(P(CC1=CC=CC(CP(C(C)(C)C)C(C)(C)C)=N1)C(C)(C)C)(C)C,1
OC1=C(/C=N\C2=C(C3=C(C=CC=C4)C4=CC=C3/N=C\C5=CC=CC=C5O)C6=CC=CC=C6C=C2)C=CC=C1,1
CN(C1=C(C2=C(C=CC=C3)C3=CC=C2N(C)C)C4=CC=CC=C4C=C1)C,1
CNC1=C(C2=C(C=CC=C3)C3=CC=C2NC)C4=CC=CC=C4C=C1,1
NC1=C(C2=C(C=CC=C3)C3=CC=C2N)C4=CC=CC=C4C=C1,1
O/N=C/C1=CC=CC=N1,1
CC(/C(C)=N/O)=N\O,1
C/C(C1=CC=CC(/C(C)=N/C2=CC=CC=C2)=N1)=N\C3=CC=CC=C3,1
